player_name,team,league,age,position,minutes_played,appearances,goals,assists,shots_on_target,key_passes,tackles,team_ppg,league_position,market_value_m,season,value_date,sofascore_id,tm_player_id,match_method
Lamine Yamal,FC Barcelona,La Liga,18.9,Midfielder,2268,28,16,11,37,73,35,2.474,1,200.0,25/26,2026-06-05,1402912,937958,slug
Kylian Mbappé,Real Madrid,La Liga,27.5,Forward,2604,31,25,5,63,65,4,2.263,2,180.0,25/26,2026-06-05,826643,342229,slug
Pedri,FC Barcelona,La Liga,23.5,Midfielder,2107,29,2,9,10,64,50,2.474,1,150.0,25/26,2026-06-05,992587,683840,slug
Vinícius Júnior,Real Madrid,La Liga,25.9,Forward,2825,36,16,5,46,70,29,2.263,2,140.0,25/26,2026-06-05,868812,371998,slug
Jude Bellingham,Real Madrid,La Liga,22.9,Midfielder,1917,28,6,4,26,36,51,2.263,2,130.0,25/26,2026-06-05,991011,581678,slug
Julián Alvarez,Atlético Madrid,La Liga,26.3,Forward,1902,29,8,4,26,47,21,1.816,4,100.0,25/26,2026-06-05,944656,576024,slug
Fermín López,FC Barcelona,La Liga,23.1,Midfielder,1797,30,6,9,25,34,48,2.474,1,100.0,25/26,2026-06-05,1153270,636703,slug
Federico Valverde,Real Madrid,La Liga,27.9,Midfielder,2746,33,5,8,22,43,41,2.263,2,90.0,25/26,2026-06-05,831808,369081,slug
Arda Güler,Real Madrid,La Liga,21.3,Midfielder,2026,33,4,9,19,70,46,2.263,2,90.0,25/26,2026-06-05,1091116,861410,slug
Pau Cubarsí,FC Barcelona,La Liga,19.4,Defender,2708,31,1,0,2,5,42,2.474,1,80.0,25/26,2026-06-05,1402913,962110,slug
Raphinha,FC Barcelona,La Liga,29.5,Midfielder,1388,22,13,3,24,43,15,2.474,1,70.0,25/26,2026-06-05,831005,411295,slug
Aurélien Tchouaméni,Real Madrid,La Liga,26.4,Midfielder,2622,33,1,0,7,25,68,2.263,2,70.0,25/26,2026-06-05,859025,413112,slug
Dani Olmo,FC Barcelona,La Liga,28.1,Midfielder,2077,33,7,8,21,49,33,2.474,1,60.0,25/26,2026-06-05,789071,293385,slug
Trent Alexander-Arnold,Real Madrid,La Liga,27.7,Defender,1169,21,0,4,2,29,14,2.263,2,60.0,25/26,2026-06-05,795064,314353,slug
Jules Koundé,FC Barcelona,La Liga,27.6,Defender,2269,30,1,3,4,23,47,2.474,1,60.0,25/26,2026-06-05,827212,411975,slug
Dean Huijsen,Real Madrid,La Liga,21.1,Defender,2037,28,2,2,5,10,31,2.263,2,60.0,25/26,2026-06-05,1176744,890290,slug
Pablo Barrios,Atlético Madrid,La Liga,23.0,Midfielder,1666,23,1,1,6,20,30,1.816,4,55.0,25/26,2026-06-05,1142588,775605,slug
Ferran Torres,FC Barcelona,La Liga,26.3,Forward,1984,33,16,2,37,23,7,2.474,1,50.0,25/26,2026-06-05,855833,398184,slug
Eduardo Camavinga,Real Madrid,La Liga,23.6,Midfielder,1532,29,1,0,2,15,65,2.263,2,50.0,25/26,2026-06-05,973887,640428,slug
Alejandro Balde,FC Barcelona,La Liga,22.6,Defender,1874,28,0,2,1,24,35,2.474,1,50.0,25/26,2026-06-05,997035,636688,slug
Alberto Moleiro,Villarreal,La Liga,22.7,Midfielder,2490,37,10,5,20,37,30,1.895,3,50.0,25/26,2026-06-05,1012444,733576,slug
Álvaro Carreras,Real Madrid,La Liga,23.2,Defender,2340,28,2,3,3,30,41,2.263,2,50.0,25/26,2026-06-05,1085081,811778,slug
Rodrygo,Real Madrid,La Liga,25.4,Forward,680,19,1,3,11,17,13,2.263,2,45.0,25/26,2026-06-05,910536,412363,slug
Franco Mastantuono,Real Madrid,La Liga,18.8,Forward,1049,23,1,0,7,16,20,2.263,2,45.0,25/26,2026-06-05,1403559,1057316,slug
Marcus Rashford,FC Barcelona,La Liga,28.6,Forward,1761,32,8,7,29,46,8,2.474,1,40.0,25/26,2026-06-05,814590,258923,slug
Ademola Lookman,Atlético Madrid,La Liga,28.6,Forward,622,12,4,0,5,10,5,1.816,4,40.0,25/26,2026-06-05,824200,406040,slug
Eric García,FC Barcelona,La Liga,25.4,Defender,2730,34,1,2,7,31,74,2.474,1,40.0,25/26,2026-06-05,876214,466794,slug
Pape Gueye,Villarreal,La Liga,27.4,Midfielder,2143,30,5,2,13,24,40,1.895,3,40.0,25/26,2026-06-05,879694,485963,slug
Alex Baena,Atlético Madrid,La Liga,24.9,Midfielder,1572,27,2,3,7,46,18,1.816,4,40.0,25/26,2026-06-05,910031,548111,slug
Antony,Real Betis,La Liga,26.3,Midfielder,2459,32,8,6,34,56,39,1.579,5,40.0,25/26,2026-06-05,958380,602105,slug
Abdessamad Ezzalzouli,Real Betis,La Liga,24.5,Midfielder,2255,29,10,8,26,32,53,1.579,5,40.0,25/26,2026-06-05,1011375,724520,fuzzy 83
Nico Williams,Athletic Club,La Liga,23.9,Midfielder,1687,25,6,3,16,34,15,1.184,12,40.0,25/26,2026-06-05,1085400,709187,slug
Giuliano Simeone,Atlético Madrid,La Liga,23.5,Midfielder,2109,31,4,6,14,31,45,1.816,4,40.0,25/26,2026-06-05,1099352,742201,slug
Frenkie de Jong,FC Barcelona,La Liga,29.1,Midfielder,1637,25,1,5,2,35,45,2.474,1,35.0,25/26,2026-06-05,795222,326330,slug
Dávid Hancko,Atlético Madrid,La Liga,28.5,Defender,2434,30,0,2,5,13,43,1.816,4,35.0,25/26,2026-06-05,807771,404418,slug
Brahim Díaz,Real Madrid,La Liga,26.8,Midfielder,1284,30,1,6,7,30,15,2.263,2,35.0,25/26,2026-06-05,835485,314678,slug
Marc Pubill,Atlético Madrid,La Liga,23.0,Defender,1382,19,1,1,4,3,25,1.816,4,35.0,25/26,2026-06-05,1094106,844637,slug
Gerard Martín,FC Barcelona,La Liga,24.3,Defender,2140,32,0,0,4,13,40,2.474,1,35.0,25/26,2026-06-05,1094827,705395,slug
Conor Gallagher,Atlético Madrid,La Liga,26.3,Midfielder,665,19,2,0,5,4,17,1.816,4,32.0,25/26,2026-06-03,904970,488362,slug
Georges Mikautadze,Villarreal,La Liga,25.6,Forward,2117,32,13,6,32,28,6,1.895,3,30.0,25/26,2026-06-05,1009372,729814,slug
Víctor Muñoz,Osasuna,La Liga,22.9,Forward,2668,34,6,2,31,27,22,1.105,17,30.0,25/26,2026-06-05,1145642,935231,slug
Gonzalo García,Real Madrid,La Liga,22.2,Forward,988,30,6,1,11,13,11,2.263,2,30.0,25/26,2026-06-05,1402716,935230,slug
